PPU;Fecha;a14;a15;a16;a17;a18;𝑰𝑪𝑨𝑻𝒆𝒓𝒎𝒊𝒏𝒂𝒍;Terminal ;Tipo bus;Marca
FLXS62;07-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
LXDH84;07-05-2024;1;1;1;1;1; 5,00 ;CONDELL;B2;SCANIA
LXDH92;07-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
LXDJ10;07-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
LXDJ15;07-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
FLXS57;07-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
SHCY33;08-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
SHCY40;08-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
SHCY47;08-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
LXDH97;08-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;SCANIA
LXDJ22;08-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;SCANIA
LDJV50;08-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LDJW40;08-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LXDH98;08-05-2024;1;1;1;1;1; 5,00 ;CONDELL;B2;SCANIA
LFGJ91;08-05-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;MERCEDES BENZ
SPZX36;08-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
LDTG66;08-05-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;MERCEDES BENZ
LFGJ89;08-05-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;MERCEDES BENZ
SJTD57;08-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SKHG17;08-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SHCY34;13-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
SHCY49;13-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
LXDJ16;13-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;SCANIA
LXDJ23;13-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;SCANIA
LDJW36;13-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LDJW42;13-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
SHXG87;13-05-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;VOLVO
SHCY35;14-05-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
SJPC30;14-05-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
