DATOS;FULL;Oct.;INTERNO;INTERNO;TERMINAL;21-Oct;22-Oct;23-Oct;24-Oct;25-Oct;26-Oct;27-Oct;28-Oct;29-Oct;30-Oct;31-Oct;1-Nov;2-Nov;3-Nov;4-Nov;5-Nov;6-Nov;7-Nov;8-Nov;9-Nov;10-Nov;11-Nov;12-Nov;13-Nov;14-Nov;15-Nov;16-Nov;17-Nov;18-Nov;19-Nov
;0;0;5020;SHXF22;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS
;2;1;5022;SHCY65;PIE ANDINO;FULL;;;;;;;;;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;FULL;;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA
;1;1;6020;FLXR77;PIE ANDINO;;FULL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA
;1;1;6021;FLXS32;PIE ANDINO;FULL;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;
;1;0;6022;FLXS33;PIE ANDINO;;;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;FULL
;1;1;6023;FLXS38;PIE ANDINO;;FULL;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;
;0;0;6024;FLXS39;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS
;2;2;6025;FLXS40;PIE ANDINO;;FULL;;;;;;;;;FULL;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;;;
;1;0;6026;FLXS41;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;;FULL;;;;;;;;;;;;;;
;1;1;6027;LBTS75;PIE ANDINO;;;FULL;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;
;1;1;6028;LBTS76;PIE ANDINO;FULL;;;;;;;;;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;
;2;2;6029;LBTS77;PIE ANDINO;;;FULL;;;;;;FULL;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;BARRIDO/MOPA;BARRIDO/MOPA
;0;0;6030;LBTS78;PIE ANDINO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;1;6037;LBTS86;PIE ANDINO;;;FULL;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;
;2;1;6039;LBTS88;PIE ANDINO;;FULL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;FULL;;BARRIDO/MOPA;;
;1;1;6048;LBTS97;PIE ANDINO;;;FULL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA
;1;1;6049;LBTS98;PIE ANDINO;;;;;;;;;;;FULL;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA
;2;1;6050;LBTS99;PIE ANDINO;;;;;;;;;;;FULL;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;BARRIDO/MOPA;FULL;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA
